SAT subject tests and HSGPA,,,,,,,
below threshold:  1228  above:  1292,,,,,,,
train_data_percent,test_data_percent,train_instance_count,,clf_train_acc,clf_test_acc,base_train_acc,base_test_acc
0.005,0.995,9,,0.555555556,0.473015873,0.888888889,0.484126984
0.01,0.99,18,,0.666666667,0.473015873,0.5,0.5
0.015,0.985,28,,0.678571429,0.473015873,0.535714286,0.507936508
0.02,0.98,37,,0.594594595,0.487301587,0.459459459,0.49047619
0.025,0.975,47,,0.553191489,0.525396825,0.510638298,0.501587302
0.03,0.97,56,,0.696428571,0.514285714,0.625,0.496825397
0.035,0.965,66,,0.636363636,0.522222222,0.46969697,0.488888889
0.04,0.96,75,,0.64,0.496825397,0.48,0.526984127
0.045,0.955,85,,0.694117647,0.517460317,0.458823529,0.49047619
0.05,0.95,94,,0.712765957,0.546031746,0.436170213,0.506349206
0.055,0.945,103,,0.689320388,0.552380952,0.475728155,0.479365079
0.06,0.94,113,,0.663716814,0.557142857,0.548672566,0.484126984
0.065,0.935,122,,0.663934426,0.576190476,0.5,0.466666667
0.07,0.93,132,,0.666666667,0.579365079,0.560606061,0.49047619
0.075,0.925,141,,0.666666667,0.574603175,0.482269504,0.503174603
0.08,0.92,151,,0.662251656,0.588888889,0.483443709,0.468253968
0.085,0.915,160,,0.66875,0.56984127,0.5125,0.53968254
0.09,0.91,170,,0.670588235,0.573015873,0.5,0.522222222
0.095,0.905,179,,0.664804469,0.579365079,0.558659218,0.471428571
0.1,0.9,189,,0.661375661,0.584126984,0.428571429,0.512698413
0.105,0.895,198,,0.671717172,0.59047619,0.505050505,0.517460317
0.11,0.89,207,,0.676328502,0.595238095,0.507246377,0.487301587
0.115,0.885,217,,0.668202765,0.593650794,0.557603687,0.534920635
0.12,0.88,226,,0.668141593,0.598412698,0.544247788,0.515873016
0.125,0.875,236,,0.665254237,0.592063492,0.512711864,0.493650794
0.13,0.87,245,,0.67755102,0.582539683,0.444897959,0.517460317
0.135,0.865,255,,0.690196078,0.593650794,0.521568627,0.492063492
0.14,0.86,264,,0.685606061,0.582539683,0.545454545,0.515873016
0.145,0.855,274,,0.697080292,0.579365079,0.540145985,0.50952381
0.15,0.85,283,,0.692579505,0.588888889,0.54770318,0.474603175
0.155,0.845,292,,0.684931507,0.596825397,0.5,0.515873016
0.16,0.84,302,,0.685430464,0.6,0.5,0.515873016
0.165,0.835,311,,0.691318328,0.596825397,0.504823151,0.519047619
0.17,0.83,321,,0.685358255,0.603174603,0.514018692,0.455555556
0.175,0.825,330,,0.687878788,0.601587302,0.527272727,0.477777778
0.18,0.82,340,,0.691176471,0.6,0.491176471,0.514285714
0.185,0.815,349,,0.687679083,0.6,0.53008596,0.506349206
0.19,0.81,359,,0.676880223,0.607936508,0.473537604,0.476190476
0.195,0.805,368,,0.676630435,0.606349206,0.483695652,0.480952381
